Index,Accel X (LSB),Accel Y (LSB),Accel Z (LSB),Gyro X (LSB),Gyro Y (LSB),Gyro Z (LSB),Compass X (LSB),Compass Y (LSB),Compass Z (LSB),Temperature,
14873,-736,824,16372,944,641,1023,-70,229,268,32,04466,
14874,-484,1716,16540,416,-101,2915,-70,224,263,31,85297,
14875,-948,1292,17280,356,-75,8484,-70,224,263,32,04466,
14876,-476,2440,18928,-2137,-1801,18690,-71,238,262,31,90089,
14877,-4644,3604,18412,475,1748,32767,-72,227,258,32,23635,
14878,-1188,-1232,18152,6226,4273,32767,-78,220,262,31,75712,
14879,-336,2532,14760,9977,1277,32767,-78,220,262,32,04466,
14880,-4628,2224,15200,5995,-220,29000,-78,220,262,31,85297,
14881,-40,2584,16076,5707,-1140,26663,-73,254,262,32,09258,
14882,-976,2664,15240,5369,-296,15499,-85,269,256,32,38012,
14883,-1152,3288,16872,2679,-74,19648,-85,269,256,31,94881,
14884,1776,1964,15652,5755,141,16431,-98,295,256,32,04466,
14885,1516,1412,14424,2983,3341,8798,-98,295,256,32,09258,
14886,740,-624,16484,-1913,1897,7241,-105,303,261,32,09258,
14887,2540,1048,15256,352,2500,2802,-104,304,257,31,94881,
14888,544,2780,16512,-2287,2504,4114,-105,305,263,31,94881,
14889,1676,2424,15836,-803,764,3267,-105,305,263,32,04466,
14890,-200,2424,15884,426,1921,4012,-101,307,270,32,04466,
14891,1624,1996,15508,-1347,1371,1188,-101,299,265,32,1405,
14892,648,3464,15996,-967,900,1185,-101,299,265,31,90089,
14893,1156,4060,16296,-108,157,2190,-96,301,277,31,75712,
14894,628,2956,16160,1289,875,1672,-96,301,277,32,04466,
14895,948,2512,15932,-110,918,-526,-94,301,272,32,04466,
14896,708,2940,15912,45,-218,1319,-94,301,272,31,94881,
14897,80,2724,16060,-187,-325,1112,-96,309,267,31,90089,
14898,864,3212,15940,-344,-220,-5,-91,304,267,32,09258,
14899,548,3288,16192,-47,-360,185,-91,304,267,32,04466,
14900,-80,2736,16264,480,521,-637,-101,301,275,32,04466,
14901,608,3028,16112,-513,295,-710,-99,304,272,31,94881,
14902,216,3484,16096,-386,593,-375,-96,294,270,32,04466,
14903,704,3468,15768,811,548,400,-103,305,278,32,04466,
14904,712,3164,15872,979,-307,798,-103,305,278,31,94881,
14905,768,3180,16256,306,-448,362,-96,304,272,32,09258,
14906,72,3476,16580,207,333,391,-91,304,275,31,94881,
14907,260,3252,16452,221,193,129,-100,303,276,32,04466,
14908,628,2868,15992,-12,-217,156,-100,303,276,31,94881,
14909,580,3184,15984,-148,-471,331,-100,303,276,31,85297,
14910,472,3004,15888,-465,109,-930,-104,304,265,32,09258,
14911,484,3644,16328,-539,-445,-88,-103,300,268,31,94881,
14912,624,3188,16132,-411,-360,-72,-103,300,268,31,94881,
14913,684,3192,15724,137,108,-81,-100,308,271,31,94881,
14914,592,3124,15904,101,42,-235,-100,308,271,31,94881,
14915,356,2984,16112,-198,221,-164,-94,299,270,31,94881,
14916,996,3280,16224,-272,-261,2,-94,294,280,32,23635,
14917,792,3352,15920,11,-760,100,-90,305,258,31,90089,
14918,144,2832,16088,307,7,13,-96,296,270,32,04466,
14919,660,2968,15948,209,-224,286,-96,296,270,31,90089,
14920,484,3488,15996,890,-147,224,-91,307,270,31,85297,
14921,916,3060,16192,627,-344,17,-91,307,270,31,85297,
14922,572,2640,16024,-83,-460,-236,-89,294,267,32,09258,
14923,508,2884,16168,-257,48,-1167,-89,294,267,32,04466,
14924,1676,3004,16344,-806,-671,-2448,-91,307,280,31,90089,
14925,-16,2844,15740,-997,1175,-11729,-91,307,280,31,94881,
14926,2564,-6048,14424,-13655,1075,-32768,-92,300,278,31,90089,
14927,-8676,-10000,17708,-20424,3620,-32768,-54,263,283,32,1405,
14928,-4464,2548,19224,-14477,-8255,-32768,-54,263,283,32,09258,
14929,-8020,-10428,16152,2079,14970,-32768,-54,263,283,31,94881,
14930,-756,9436,15484,4159,2949,-22948,-44,203,291,32,04466,
14931,-4140,-3976,17928,347,-4587,-19611,-47,198,296,31,94881,
